title,genre,language,rating,poster_url
Dangal 2,Drama,Hindi,8.5,https://dummyimage.com/300x450/000/ffffff&text=Dangal+2
Pathaan,Action,Hindi,7.8,https://dummyimage.com/300x450/000/ffffff&text=Pathaan
Jawan,Action,Hindi,8.0,https://dummyimage.com/300x450/000/ffffff&text=Jawan
Brahmastra,Fantasy,Hindi,7.2,https://dummyimage.com/300x450/000/ffffff&text=Brahmastra
Animal,Drama,Hindi,8.3,https://dummyimage.com/300x450/000/ffffff&text=Animal
Bhool Bhulaiyaa 2,Comedy,Hindi,7.5,https://dummyimage.com/300x450/000/ffffff&text=Bhool+Bhulaiyaa+2
Drishyam 2,Thriller,Hindi,8.4,https://dummyimage.com/300x450/000/ffffff&text=Drishyam+2
Shershaah,War,Hindi,8.6,https://dummyimage.com/300x450/000/ffffff&text=Shershaah
Sooryavanshi,Action,Hindi,7.1,https://dummyimage.com/300x450/000/ffffff&text=Sooryavanshi
RRR (Hindi Dub),Action,Hindi,8.8,https://dummyimage.com/300x450/000/ffffff&text=RRR+%28Hindi+Dub%29
Gangubai Kathiawadi,Drama,Hindi,7.9,https://dummyimage.com/300x450/000/ffffff&text=Gangubai+Kathiawadi
Rocky Aur Rani Ki Prem Kahani,Romance,Hindi,7.4,https://dummyimage.com/300x450/000/ffffff&text=Rocky+Aur+Rani+Ki+Prem+Kahani
Laal Singh Chaddha,Drama,Hindi,6.9,https://dummyimage.com/300x450/000/ffffff&text=Laal+Singh+Chaddha
Article 15,Crime,Hindi,8.2,https://dummyimage.com/300x450/000/ffffff&text=Article+15
Chhichhore,Drama,Hindi,8.1,https://dummyimage.com/300x450/000/ffffff&text=Chhichhore
Uri The Surgical Strike,War,Hindi,8.3,https://dummyimage.com/300x450/000/ffffff&text=Uri+The+Surgical+Strike
Badhaai Ho,Comedy,Hindi,8.0,https://dummyimage.com/300x450/000/ffffff&text=Badhaai+Ho
Stree,Horror,Hindi,7.8,https://dummyimage.com/300x450/000/ffffff&text=Stree
Gully Boy,Drama,Hindi,8.2,https://dummyimage.com/300x450/000/ffffff&text=Gully+Boy
Andhadhun,Thriller,Hindi,8.7,https://dummyimage.com/300x450/000/ffffff&text=Andhadhun
Tanhaji,Action,Hindi,7.9,https://dummyimage.com/300x450/000/ffffff&text=Tanhaji
Mission Majnu,Spy,Hindi,7.3,https://dummyimage.com/300x450/000/ffffff&text=Mission+Majnu
Satyaprem Ki Katha,Romance,Hindi,7.2,https://dummyimage.com/300x450/000/ffffff&text=Satyaprem+Ki+Katha
Dream Girl,Comedy,Hindi,7.6,https://dummyimage.com/300x450/000/ffffff&text=Dream+Girl
Ludo,Comedy,Hindi,7.4,https://dummyimage.com/300x450/000/ffffff&text=Ludo
Dil Bechara,Romance,Hindi,7.8,https://dummyimage.com/300x450/000/ffffff&text=Dil+Bechara
83,Drama,Hindi,7.5,https://dummyimage.com/300x450/000/ffffff&text=83
Raazi,Spy,Hindi,8.1,https://dummyimage.com/300x450/000/ffffff&text=Raazi
Badla,Thriller,Hindi,7.7,https://dummyimage.com/300x450/000/ffffff&text=Badla
Piku,Drama,Hindi,8.2,https://dummyimage.com/300x450/000/ffffff&text=Piku
Hellaro,Drama,Gujarati,8.3,https://dummyimage.com/300x450/000/ffffff&text=Hellaro
Chaal Jeevi Laiye,Drama,Gujarati,8.4,https://dummyimage.com/300x450/000/ffffff&text=Chaal+Jeevi+Laiye
Gujjubhai Most Wanted,Comedy,Gujarati,7.9,https://dummyimage.com/300x450/000/ffffff&text=Gujjubhai+Most+Wanted
Gujjubhai The Great,Comedy,Gujarati,7.8,https://dummyimage.com/300x450/000/ffffff&text=Gujjubhai+The+Great
Love Ni Bhavai,Romance,Gujarati,7.6,https://dummyimage.com/300x450/000/ffffff&text=Love+Ni+Bhavai
Montu Ni Bittu,Romance,Gujarati,7.4,https://dummyimage.com/300x450/000/ffffff&text=Montu+Ni+Bittu
Vitamin She,Comedy,Gujarati,7.3,https://dummyimage.com/300x450/000/ffffff&text=Vitamin+She
Fakt Mahilao Maate,Comedy,Gujarati,7.5,https://dummyimage.com/300x450/000/ffffff&text=Fakt+Mahilao+Maate
Chor Bani Thangaat Kare,Comedy,Gujarati,7.2,https://dummyimage.com/300x450/000/ffffff&text=Chor+Bani+Thangaat+Kare
Cash On Delivery,Comedy,Gujarati,7.1,https://dummyimage.com/300x450/000/ffffff&text=Cash+On+Delivery
Thai Jashe,Drama,Gujarati,7.4,https://dummyimage.com/300x450/000/ffffff&text=Thai+Jashe
Shubh Aarambh,Romance,Gujarati,7.3,https://dummyimage.com/300x450/000/ffffff&text=Shubh+Aarambh
Family Circus,Comedy,Gujarati,7.2,https://dummyimage.com/300x450/000/ffffff&text=Family+Circus
Mijaaj,Drama,Gujarati,7.1,https://dummyimage.com/300x450/000/ffffff&text=Mijaaj
Tamburo,Comedy,Gujarati,7.0,https://dummyimage.com/300x450/000/ffffff&text=Tamburo
I Wish,Drama,Gujarati,7.3,https://dummyimage.com/300x450/000/ffffff&text=I+Wish
Love Ni Love Storys,Romance,Gujarati,7.5,https://dummyimage.com/300x450/000/ffffff&text=Love+Ni+Love+Storys
Passport,Drama,Gujarati,7.2,https://dummyimage.com/300x450/000/ffffff&text=Passport
Affraa Taffri,Comedy,Gujarati,7.1,https://dummyimage.com/300x450/000/ffffff&text=Affraa+Taffri
Karsandas Pay and Use,Comedy,Gujarati,7.4,https://dummyimage.com/300x450/000/ffffff&text=Karsandas+Pay+and+Use
Sairat,Romance,Marathi,8.5,https://dummyimage.com/300x450/000/ffffff&text=Sairat
Natsamrat,Drama,Marathi,8.3,https://dummyimage.com/300x450/000/ffffff&text=Natsamrat
Court,Drama,Marathi,8.1,https://dummyimage.com/300x450/000/ffffff&text=Court
Timepass 2,Romance,Marathi,7.6,https://dummyimage.com/300x450/000/ffffff&text=Timepass+2
Fandry,Drama,Marathi,8.0,https://dummyimage.com/300x450/000/ffffff&text=Fandry
Mulshi Pattern,Crime,Marathi,7.9,https://dummyimage.com/300x450/000/ffffff&text=Mulshi+Pattern
Dharala Tar,Drama,Marathi,7.4,https://dummyimage.com/300x450/000/ffffff&text=Dharala+Tar
Pawankhind,History,Marathi,8.2,https://dummyimage.com/300x450/000/ffffff&text=Pawankhind
Harishchandrachi Factory,Biography,Marathi,7.8,https://dummyimage.com/300x450/000/ffffff&text=Harishchandrachi+Factory
Deool Band,Drama,Marathi,7.5,https://dummyimage.com/300x450/000/ffffff&text=Deool+Band
Master,Action,Tamil,8.0,https://dummyimage.com/300x450/000/ffffff&text=Master
Vikram,Action,Tamil,8.5,https://dummyimage.com/300x450/000/ffffff&text=Vikram
Leo,Action,Tamil,7.9,https://dummyimage.com/300x450/000/ffffff&text=Leo
Jailer,Action,Tamil,8.2,https://dummyimage.com/300x450/000/ffffff&text=Jailer
Kaithi,Thriller,Tamil,8.4,https://dummyimage.com/300x450/000/ffffff&text=Kaithi
96,Romance,Tamil,8.3,https://dummyimage.com/300x450/000/ffffff&text=96
Asuran,Drama,Tamil,8.4,https://dummyimage.com/300x450/000/ffffff&text=Asuran
Super Deluxe,Drama,Tamil,8.1,https://dummyimage.com/300x450/000/ffffff&text=Super+Deluxe
Thuppakki,Action,Tamil,8.0,https://dummyimage.com/300x450/000/ffffff&text=Thuppakki
Doctor,Comedy,Tamil,7.7,https://dummyimage.com/300x450/000/ffffff&text=Doctor
